2021-10-26 02:55:39.7264|0|DEBUG|Notes.Api.Program|Start application |url: |action: |Notes.Api.Program.Main| body: 
2021-10-26 02:57:56.3024|0|DEBUG|Notes.Api.Program|Start application |url: |action: |Notes.Api.Program.Main| body: 
2021-10-26 03:01:26.6494|0|DEBUG|Notes.Api.Program|Start application |url: |action: |Notes.Api.Program.Main| body: 
2021-10-26 03:01:26.9268|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:01:26.9343|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:01:26.9343|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Shamil\Documents\CSharpProjects\PetExamples\Notes\Notes.Api |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:01:27.1167|1|DEBUG|Notes.Api.Controllers.NotesController|Injected into NotesController |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController..ctor| body: 
2021-10-26 03:01:27.1275|0|INFO|Notes.Api.Controllers.NotesController|Getting all notes |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController.GetAll| body: 
2021-10-26 03:01:32.1943|1|DEBUG|Notes.Api.Controllers.NotesController|Injected into NotesController |url: https://localhost/notes/1|action: Get|Notes.Api.Controllers.NotesController..ctor| body: 
2021-10-26 03:01:32.2088|0|INFO|Notes.Api.Controllers.NotesController|Getting a note |url: https://localhost/notes/1|action: Get|Notes.Api.Controllers.NotesController.Get| body: 
2021-10-26 03:04:53.9462|0|DEBUG|Notes.Api.Program|Start application |url: |action: |Notes.Api.Program.Main| body: 
2021-10-26 03:04:54.2043|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:04:54.2043|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:04:54.2197|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Shamil\Documents\CSharpProjects\PetExamples\Notes\Notes.Api |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:05:27.5874|0|DEBUG|Notes.Api.Program|Start application |url: |action: |Notes.Api.Program.Main| body: 
2021-10-26 03:05:28.6072|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:05:28.6230|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:05:28.6230|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Shamil\Documents\CSharpProjects\PetExamples\Notes\Notes.Api |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:05:28.8712|1|DEBUG|Notes.Api.Controllers.NotesController|Injected into NotesController |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController..ctor| body: 
2021-10-26 03:05:28.8712|0|INFO|Notes.Api.Controllers.NotesController|Getting all notes |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController.GetAll| body: 
2021-10-26 03:05:33.2777|1|DEBUG|Notes.Api.Controllers.NotesController|Injected into NotesController |url: https://localhost/notes/1|action: Get|Notes.Api.Controllers.NotesController..ctor| body: 
2021-10-26 03:05:33.2777|0|INFO|Notes.Api.Controllers.NotesController|Getting a note |url: https://localhost/notes/1|action: Get|Notes.Api.Controllers.NotesController.Get| body: 
2021-10-26 03:09:34.1804|0|DEBUG|Notes.Api.Program|Start application |url: |action: |Notes.Api.Program.Main| body: 
2021-10-26 03:09:34.4589|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:09:34.4668|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:09:34.4668|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Shamil\Documents\CSharpProjects\PetExamples\Notes\Notes.Api |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:09:34.6646|1|DEBUG|Notes.Api.Controllers.NotesController|Injected into NotesController |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController..ctor| body: 
2021-10-26 03:09:34.6715|0|INFO|Notes.Api.Controllers.NotesController|Getting all notes |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController.GetAll| body: 
2021-10-26 03:12:09.7306|0|DEBUG|Notes.Api.Program|Start application |url: |action: |Notes.Api.Program.Main| body: 
2021-10-26 03:12:09.9926|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:12:09.9983|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:12:09.9983|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Shamil\Documents\CSharpProjects\PetExamples\Notes\Notes.Api |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-10-26 03:12:10.1593|1|DEBUG|Notes.Api.Controllers.NotesController|Injected into NotesController |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController..ctor| body: 
2021-10-26 03:12:10.1593|0|INFO|Notes.Api.Controllers.NotesController|Getting all notes |url: https://localhost/notes|action: GetAll|Notes.Api.Controllers.NotesController.GetAll| body: 
